lat	lon	title	description	icon	iconSize	iconOffset
45.35553	-75.63648	GC1NX5X	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>OMAX - Ottawa's Atlantic Canadians</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37018	-75.68	GC15CNY	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Bridges over Riverside Park</a><br/>Difficulty: 1.5/5  Terrain: 1.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36412	-75.67641	GC1HY7Q	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sadie's Lookout</a><br/>Difficulty: 2.5/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35377	-75.65577	GC15FRK	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>O-Train at South Keys</a><br/>Difficulty: 1.0/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38583	-75.67833	GC1VFF3	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Number Cruncher</a><br/>Difficulty: 3.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3535	-75.65525	GCQYMH	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Transpocache 2 for GAG7</a><br/>Difficulty: 1.5/5  Terrain: 1.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.37812	-75.68207	GC1BRYE	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>See BC</a><br/>Difficulty: 1.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38402	-75.68048	GC1MJAN	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG 13 - My Second Cache</a><br/>Difficulty: 1.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.39877	-75.6585	GC1YNQ2	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Thirty-three and a third</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36675	-75.68045	GCW7RK	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Thieves don't steal me now!</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35703	-75.628	GC1R708	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sabre's first cache</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.39975	-75.65518	GC1ZAT8	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14 - Thank a Vet!</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37125	-75.61533	GCABF2	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>What! Another Missing Link?</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
